,id,custom_id,name,url,abbreviation,classification
121,122,817857947673-08,International Labour Organization,https://www.ilo.org/,ILO,
122,123,817857947673-08,International Monetary Fund,https://www.imf.org/,IMF,
123,124,817857947673-08,International Telecommunication Union,https://www.itu.int/,ITU,
124,125,817857947673-08,Universal Postal Union,https://www.upu.int/,UPU,
125,126,817857947673-08,World Intellectual Property Organization,https://www.wipo.int/,WIPO,
126,127,817857947673-08,World Meteorological Organization,https://www.wmo.int/,WMO,
127,128,817857947673-08,World Tourism Organization,https://www.unwto.org/,UNWTO,
128,129,817857947673-08,World Trade Organization,https://www.wto.org/,WTO,
129,130,473027832884-08,Central European Opinion Research Group,,CEORG,
130,131,473027832884-08,European Consortium for Political Research,,ECPR,
131,132,473027832884-08,European Consortium for Sociological Research,,ECSR,
132,133,473027832884-08,European Sociological Association,,ESA,
133,134,473027832884-08,European Network for Housing Research,,ENHR,
134,135,473027832884-08,International Social Survey Programme,,ISSP,
135,136,473027832884-08,ATGender,,,
136,137,473027832884-08,International Association of Research Centers of Advanced Gender Studies,,RINGS,
137,138,473027832884-08,European Platform of Women Scientists,,EPWS,
138,139,176142042018-15,,www.iru.org,IRU,
139,140,417609443545-68,Brewers of Europe,,,
140,141,417609443545-68,Slovak Agriculture and Food Chamber,,,
141,142,417609443545-68,Food Chamber of Slovakia,,,
142,143,573365521161-78,Religions for Peace Europe,,,
143,144,573365521161-78,European Council of Religious Leaders,,,
144,145,573365521161-78,The European Muslim and Jewish Leadership Council,,,
145,146,573365521161-78,European Muslim Leaders,,,
146,147,573365521161-78,Interreligious Council of Bosnia- Herzegovina,,,
147,148,933102147733-91,Copa-Cogeca,,,
148,149,933102147733-91,World Farmers Organisation,,,
149,150,121071547344-42,Ceflex,https://ceflex.eu/,,
150,151,121071547344-42,,https://www.agvu.de/de/,AGVU,
151,152,121071547344-42,,https://www.bvse.de/,BVSE,
152,153,449170846653-44,European Business Organisation,https://eboworldwide.eu/,EBO,
153,154,449170846653-44,EBO Business Network Worldwide,,EBO,
154,155,724216345172-04,,www.nofs.org,,
155,156,724216345172-04,,www.epsu.org,,
156,157,724216345172-04,,publicservices.international,,
157,158,724216345172-04,,www.sttk.fi,,
158,159,724216345172-04,,www.fingo.fi,,
159,160,819479043527-23,Associazione Nazionale Sanità Integrativa e Welfare,,ANSI,
160,161,819479043527-23,Associazione Italiana delle PMI Quotate,,AssoNext,
161,162,819479043527-23,,,ASSOLOMBARDA,
162,163,962348443419-15,ASD,,ASD,abbreviation
163,164,962348443419-15,Aerospace and Defence Industries Association of Europe,,,
164,165,874575147646-38,Tech UK,https://www.techuk.org/,,
165,166,874575147646-38,Digital Europe,https://www.digitaleurope.org/,,
166,167,405662547431-63,International Fraud Group,,IFG,
167,168,405662547431-63,Polish-Canadian Chamber of Commerce,,,
168,169,405662547431-63,Interact Law,,,
169,170,405662547431-63,Polish Private Equity and Venture Capital Association,,PSIK,
170,171,405662547431-63,Greener Litigation,,,
171,172,405662547431-63,Vestbee,,,
172,173,648936020856-72,Verband Deutscher Reeder,,VDR,
173,174,648936020856-72,European International Shipowners' Association,,EISAP,
174,175,648936020856-72,Associação de Armadores da Marinha de Comércio,,AAMC,
175,176,696745644088-26,EU4Health Civil Society Alliance,,,
176,177,696745644088-26,European Alliance for Cardiovascular Health,,EACH,
177,178,903215224918-55,Vienna NGO Committee on Narcotic Drugs,,VNGOC,
178,179,903215224918-55,World Federation Against Drugs,,WFAD,
179,180,903215224918-55,Drug Policy Futures,,,
180,181,903215224918-55,Foundation for a Drug Free World,,FDFW,
181,182,5749958415-41,European Policy Center,,EPC,
182,183,5749958415-41,Friends of Europe,,,
183,184,5749958415-41,BUSINESSEUROPE,,,
184,185,5749958415-41,The Center for European Policy Studies,,CEPS,
185,186,5749958415-41,The American European Community,,AECA,
186,187,5749958415-41,The European Engineering Industries,,ORGALIME,
187,188,5749958415-41,European Construction Industry Federation,,FIEC,
188,189,5749958415-41,Construction Products Europe,,CEPMC,
189,190,5749958415-41,"Council of European Employers of the Metal, Engineering and Technology-Based Industries",,CEEMET,
190,191,5749958415-41,European Financial Reporting Advisory Group,,EFRAG,
191,192,5749958415-41,European Chemical Industry Council,,CEFIC,
192,193,5749958415-41,European Fruit Juice Assocation,,AIJN,
193,194,5749958415-41,International Federation of Plant Bakeries,,AIBI,
194,195,5749958415-41,The European Business Council for Africa and the Mediterranean,,EBCAM,
195,196,5749958415-41,European Service Forum,,ESF,
196,197,5749958415-41,International Road Transport Union,,IRU,
197,198,5749958415-41,DIGITALEUROPE,,,
198,199,5749958415-41,European Biomass Association,,AEBIOM,
199,200,5749958415-41,The European Flour Millers,,,
200,201,5749958415-41,FoodDrinkEurope,,CIAA,
201,202,5749958415-41,European Committee of Manufacturers of Electrical Machines and Power Electronics,,CEMEP,
202,203,5749958415-41,European Chemical Employers Group,,ECEG,
203,204,5749958415-41,European Association of the Machine Tool Industries,,CECIMO,
204,205,5749958415-41,The Confederation of Danish Employers,,DA,
206,207,7829357255-35,České podnikatelské reprezentace při EU,www.cebre.cz,CEBRE,
207,208,7829357255-35,EUROCHAMBRES,,,
208,209,1634450483-86,COPA/COGECA,www.copa-cogeca.eu,,
209,210,1634450483-86,Cooperatives Europe,www.coopseurope.coop,,
210,211,921696545591-13,CoGdem,,,
211,212,921696545591-13,,,FIA,
212,213,921696545591-13,,,FFMI,
213,214,921696545591-13,Euralarm,,,
214,215,921696545591-13,,,AFPRIM,
215,216,961973546240-11,EURORDIS,,,
216,217,011816043546-53,International Federation of Freight Forwarders’ Associations,www.fiata.com,FIATA,
217,218,011816043546-53,"European Association for Forwarding, Transport, Logistics and Customs Services",www.clecat.org,CLECAT,
218,219,863766043868-75,American Academy of Physician Associates,https://www.aapa.org/,,
219,220,863766043868-75,United States Chamber of Commerce,https://www.uschamber.com/,,
220,221,546671448322-65,Toy Industries of Europe,,TIE,
221,222,546671448322-65,Amcham EU,,,
222,223,546671448322-65,World Federation of Advertisers,,WFA,
223,224,546671448322-65,Together Against Counterfeiting Alliance,,TAC,
224,225,185296944302-68,Verband der Automobilindustrie,,,
225,226,185296944302-68,"Bundesverband Deutscher Innovations-, Technologie- und Gründerzentren e.V.",,BVIZ,
226,227,185296944302-68,Bundesverband Deutscher Kapitalbeteiligungsgesellschaften,,,
227,228,185296944302-68,Founders Foundation gGmbH,,,
228,229,185296944302-68,futureSAX - die Innovationsplattform des Freistaates Sachsen,,,
229,230,185296944302-68,media:net berlinbrandenburg e.V.,,,
230,231,185296944302-68,European Startup Network,,,
231,232,185296944302-68,CyberForum e.V.,,,
232,233,023888046278-79,BDB Bundesverband der deutschen Binnenschifffahrt e.V.,,,
233,234,023888046278-79,Schifferbörse zu Duisburg-Ruhrort e.V.,,,
234,235,794717246921-05,Leaseurope,https://www.leaseurope.org/,,
235,236,006627042242-12,Games Bavaria,https://www.games-bavaria.com/,,
236,237,027635847945-53,Advanced rechargeable and lithium batteries industry association in Europe,,RECHARGE,
237,238,862187747219-16,Federazione Italiana Società Medico Scientifiche,https://www.fism.it/,FIMS,
238,239,506338020722-87,UECNA,,,
239,240,983915948220-40,Keem Me Posted,,,
240,241,983915948220-40,Two Sides,,,
241,242,983915948220-40,,,CITPA,
242,243,8522206185-94,CORDIS,,CORDIS,abbreviation
243,244,8522206185-94,LANDSEC,,LANDSEC,abbreviation
244,245,4236772430-57,Nordic Logistics Association,http://www.nla.eu,,
245,246,4236772430-57,International Road Union,http://www.iru.org,IRU,
246,247,4236772430-57,European Logistics Platform,http://www.european-logistics-platform.eu/,,
248,249,2301233810-42,EURIMA,,,
249,250,2301233810-42,EuroACE,,,
250,251,2301233810-42,ECEEE,,,
251,252,2301233810-42,Fire Safe Europe,,,
252,253,2301233810-42,Corporate Leaders Group,,,
253,254,2301233810-42,EU ASE,,,
254,255,4518600611-48,Danske Rederier,,,
255,256,4518600611-48,ECSA,,ECSA,abbreviation
256,257,4518600611-48,ICS,,ICS,abbreviation
257,258,4518600611-48,ISF,,ISF,abbreviation
258,259,506358744146-39,International Council of Voluntary Agencies,https://www.icvanetwork.org/,,
259,260,506358744146-39,Civil Society Action Committee,https://csactioncommittee.org/,,
260,261,506358744146-39,InterAction,https://www.interaction.org/,,
261,262,506358744146-39,Refugee Council USA,https://rcusa.org/,,
262,263,932288747927-37,Cheniere,https://www.cheniere.com/our-responsibility/governance/2021-memberships-trade-associations,,
263,264,884534647247-77,EuropaBio,https://www.europabio.org/,,
264,265,884534647247-77,Eucope,https://www.eucope.org/,,
265,266,522380247258-84,Open Banking Implementation Entity,https://www.openbanking.org.uk/about-us/,,
266,267,270753843742-82,American Chamber of Commerce in Germany e. V.,https://www.amcham.de/,,
267,268,270753843742-82,de'ge'pol - Deutsche Gesellschaft für Politikberatung e.V.,https://www.degepol.de/,,
268,269,270753843742-82,Forum für Zukunftsenergien e.V.,https://stage.zukunftsenergien.de/,,
269,270,812711446192-91,International Air Transport Association,https://www.iata.org/,IATA,
271,272,479384532978-69,EIT Climate-KIC,,,
272,273,479384532978-69,EIT Digital,,,
273,274,479384532978-69,EIT Urban Mobility,,,
274,275,479384532978-69,EIT Raw materials,,,
275,276,479384532978-69,EIT manufacturing,,,
276,277,987659045008-15,ADIFA,http://adifa.pt/adifadetail/filiacoes,,
277,278,028799047364-27,European Confederation of Independent Trade Unions,https://www.cesi.org/,CESI,
278,279,433966740561-68,Confederation of European Forest Owners,https://www.cepf-eu.org/,CEPF,
279,280,433966740561-68,Bureau of Nordic Family Forestry,http://www.nordicforestry.org/,NSF,
280,281,433966740561-68,LRF Forestry,https://www.lrf.se/om-lrf/in-english/lrf-forestry/,,
281,282,433966740561-68,Swedish Forest Industries,https://www.forestindustries.se/,,
282,283,428866047728-12,Österreichische Public Affairs Vereinigung,https://oepav.at/en/,OEPAV,
283,284,428866047728-12,Belgian Public Affairs Community,https://bepact.be/en,BEPACT,
284,285,428866047728-12,Bulgarian Association of Public Affairs Specialists,,BAPAS,
285,286,428866047728-12,Association of Public Affairs,https://apaa.cz/en/,APA,
286,287,428866047728-12,Deutsche Gesellschaft für Politikberatung e.V.,https://www.degepol.de/,De’ge’pol,
287,288,428866047728-12,Il Chiostro,http://www.ilchiostro.org/,,
288,289,428866047728-12,Slovene association for legal lobbying,https://zzl.si/,ZZL,
289,290,428866047728-12,Asociación de Profesionales de las Relaciones Institucionales,,APRI,
290,291,428866047728-12,Schweizerische Public Affairs Gesellschaft,www.public-affairs.ch/de/ueber-uns/vorstand/2734,SPAG,
291,292,428866047728-12,Association Française des Conseils en Lobbying,//www.afcl.net,AFCL,
292,293,428866047728-12,The Romanian Lobbying Registry Association,http://registruldelobby.ro/en/the-board-of-directors.html,,
293,294,428866047728-12,Luxembourg Public Affairs Community,https://letzpact.lu/,LETZPACT,
294,295,479299526321-12,Milchindustrieverband,,,
295,296,479299526321-12,LandbrugFødevarer,,,
296,297,479299526321-12,DIFødevarer,,,
297,298,479299526321-12,,,NZO,
298,299,479299526321-12,Finnish Dairy Association,,,
299,300,479299526321-12,LRF Mjölk,,,
300,301,479299526321-12,,,BCZ-CBL,
301,302,479299526321-12,,,EDA,
302,303,479299526321-12,,,AIM,
303,304,0893446630-97,Danish District Heating Association,,,
304,305,0893446630-97,Euroheat & Power,https://www.euroheat.org,,
305,306,3779891566-57,Federation of European Private Port Operators,,FEPORT,
306,307,3779891566-57,,,GSMA,
307,308,3779891566-57,Alliance for European Logistics,,AEL,
308,309,3779891566-57,European Internet Foundation,,EIF,
309,310,341681346541-18,Wasted Textiles,https://www.oslomet.no/en/research/research-projects/wasted-textiles,,
310,311,341681346541-18,Sustainable Fashion Consumption Network,www.sustainablefashionconsumption.org,,
311,312,341681346541-18,Switching Gear. Toward Circular Business Models,https://www.circle-economy.com/programmes/textiles/switching-gear,,
312,313,672219746759-76,Partnership on AI,,,
313,314,709874945298-23,OECD AI Group of Experts,,,
314,315,709874945298-23,Council of Europe Committee on AI,,Observer,
315,316,709874945298-23,European Law Institute,,Member,
316,317,709874945298-23,Global Partnership on AI,,Expert,
317,318,709874945298-23,Global Privacy Assembly Reference Group,,,
318,319,832751247467-31,,,TEI,
319,320,832751247467-31,,,IVA,
320,321,832751247467-31,,,BIAC,
321,322,832751247467-31,,,ECC,
322,323,832751247467-31,,,OECD,
323,324,479468313744-50,AIM,,AIM,abbreviation
324,325,479468313744-50,AISE,,AISE,abbreviation
325,326,479468313744-50,Brewers of Europe,,,
326,327,479468313744-50,BusinessEurope,,,
327,328,479468313744-50,CAOBISCO,,CAOBISCO,abbreviation
328,329,479468313744-50,CEEREAL,,CEEREAL,abbreviation
329,330,479468313744-50,CEFIC,,CEFIC,abbreviation
330,331,479468313744-50,CEMBUREAU,,CEMBUREAU,abbreviation
331,332,479468313744-50,CEPE,,CEPE,abbreviation
332,333,479468313744-50,CLITRAVI,,CLITRAVI,abbreviation
333,334,479468313744-50,Construction Products Europe,,,
334,335,479468313744-50,Cosmetics Europe,,,
335,336,479468313744-50,DigitalEurope,,,
336,337,479468313744-50,EDA,,EDA,abbreviation
337,338,479468313744-50,EFBW,,EFBW,abbreviation
338,339,479468313744-50,ESPO,,ESPO,abbreviation
339,340,479468313744-50,EuroCommerce,,,
340,341,479468313744-50,EuropaBio,,,
341,342,479468313744-50,European Plastics Converters,,,
342,343,479468313744-50,EPC,,EPC,abbreviation
343,344,479468313744-50,EPF,,EPF,abbreviation
344,345,479468313744-50,ESF,,ESF,abbreviation
345,346,479468313744-50,FEDIAF,,FEDIAF,abbreviation
346,347,479468313744-50,FoodDrinkEurope,,,
347,348,479468313744-50,MedTech Europe,,,
348,349,479468313744-50,ORGALIM,,ORGALIM,abbreviation
349,350,479468313744-50,Specialised Nutrition Europe,,,
350,351,479468313744-50,SpiritsEurope,,,
351,352,479468313744-50,UECBV,,UECBV,abbreviation
352,353,479468313744-50,UNESDA,,UNESDA,abbreviation
353,354,681422747067-85,University of Turku,https://www.utu.fi/en/university/international-networks,,
354,355,110224042247-91,BeeLife,https://fr.bee-life.eu/,,
355,356,110224042247-91,,http://www.professional-beekeepers.eu,EPBA,
356,357,267223648055-50,Hansgrohe Group,https://www.hansgrohe-group.com/en/about-us/responsibility/company-management,,
357,358,070762412733-39,Wikimedia,https://meta.wikimedia.org/wiki/Wikimedia_chapters,,
358,359,070762412733-39,Wikimedia,https://meta.wikimedia.org/wiki/EU_policy,,
359,360,701549844834-34,Eurogroup For Animals,,,
360,361,701549844834-34,European Alliance for Plantbased Foods,,,
361,362,082382424174-97,European Automobile Manufacturers Association,,ACEA,
362,363,082382424174-97,Japan Automobile Manufacturers Association,,JAMA,
363,364,082382424174-97,European Association of Motorcycle Manufacturers,,ACEM,
364,365,082382424174-97,All Terrain Vehicle Industry European Association,,,
365,366,550212547331-58,RIWA Maas Rhein,https://www.riwa-maas.org/de/,,
366,367,550212547331-58,Nabu,https://www.nabu.de/,,
367,368,550212547331-58,LRBPO,https://protectiondesoiseaux.be/,,
368,369,550212547331-58,lnter-Environnement Wallonie ASBL,https://www.iew.be/,,
369,370,550212547331-58,Natuurpunt.be,https://www.natuurpunt.be/,,
370,371,550212547331-58,Ökologie-Zentrum Aachen e.V.,https://oekologie-zentrum-aachen.de/,,
371,372,550212547331-58,AVES-Ostkantone,https://www.aves-ostkantone.be/cms/,,
372,373,269782247399-05,Union Européenne des Médecins Spécialistes,,UEMS,
373,374,269782247399-05,national medical associations,,,
374,375,833656146084-28,European Express Association,http://euroexpress.org/,EEA,
375,376,833656146084-28,AmCham EU,http://amchameu.eu/,,
376,377,833656146084-28,International Road Union,https://www.iru.org/,IRU,
377,378,833656146084-28,Eurocarex,https://www.eurocarex.fr/,,
378,379,11503381325-76,BusinessEurope,,,
379,380,11503381325-76,Confederation of European Business,,,
380,381,11503381325-76,International Organisation of Employers,,IOE,
381,382,11503381325-76,Business and Industry Advisory Committee,,BIAC,
382,383,11503381325-76,European Economic and Social Committee,,EESC,
383,384,717762830799-47,eGA for the Caribbean,https://www.caribbeanega.net/,EGA4C,
384,385,717762830799-47,Digital Governance Academy Asia-Pacific,https://www.facebook.com/DGAP.jp/,D-GAP,
385,386,717762830799-47,Secure Identity Alliance,https://secureidentityalliance.org/,,
386,387,717762830799-47,The Global Forum of Cyber Expertise,https://thegfce.org/,GFCE,
387,388,717762830799-47,Arengukoostöö Ümarlaud,https://www.terveilm.ee/leht/umarlaud/kes-me-oleme/,,
388,389,717762830799-47,Vabaühenduste Liidu,https://heakodanik.ee/,,
389,390,717762830799-47,Eesti Infoturbe Assotsiatsioon,https://www.eesti.ee/et/asutuste-kontaktid/erialaliidud/mtu-eesti-infoturbe-assotsiatsioon,EISA,
390,391,873181915791-38,News Media Europe,www.newsmediaeurope.eu,NME,
391,392,873181915791-38,European Magazine Media Association,www.magazinemedia.eu,EMMA,
392,393,873181915791-38,Interactive Advertising Bureau Europe,www.iabeurope.eu,IAB Europe,
393,394,873181915791-38,Association of European Radios,www.aereurope.org,AER,
394,395,248042825272-17,Worldwide Network for Blood & Marrow Transplantation,,WBMT,
395,396,248042825272-17,HL7 International,,,
396,397,248042825272-17,American National Standards Institute,,ANSI,
397,398,248042825272-17,California Association of Nonprofits,,,
398,399,248042825272-17,WHO - Non-State Actor in Official Relations with WHO,,,
400,401,082285547285-02,Alliance for Patient Access,,AfPA,
401,402,082285547285-02,,https://gafpa.org/about/,,
403,404,007427047315-01,Institut für Digitalisierung im Steuerrecht,https://idst.tax/wp-content/uploads/2022/07/IDSt-Mitglieder-28.07.2022.pdf,,
404,405,007427047315-01,International VAT Association,,,
405,406,13324391892-74,EURELECTRIC,,,
406,407,13324391892-74,EFET,,,
407,408,13324391892-74,EDSO,,,
408,409,13324391892-74,Wind Europe,,,
409,410,13324391892-74,European Geothermal Energy Council,,,
410,411,13324391892-74,Hydrogen Europe,,,
411,412,13324391892-74,SolarPower Europe,,,
412,413,185513145354-23,Accountancy Europe,,IFAC,
413,414,816706747333-97,Confederazione Italiana di Unione delle Professioni intellettuali,www.ciuonline.it,CIU,
414,415,816706747333-97,Ente Sviluppo Bilaterale Imprese per l'Italia,www.esbii.it,ESBII,
415,416,816706747333-97,Fondo Sanitario MEDI-PREV,www.medi-prev.it,,
416,417,816706747333-97,Organismo Paritetico,,OP,
417,418,382490247809-11,European Association of Nuclear Medicine,https://www.eanm.org/,EANM,
419,420,237070947408-07,ARDEAL LACT COOPERATIVA AGRICOLĂ,,,
420,421,237070947408-07,BOVI SOMEȘ COOPERATIVA AGRICOLĂ,,,
421,422,237070947408-07,CRIȘANA LACT COOPERATIVA AGRICOLĂ,,,
422,423,237070947408-07,FERMELE DE NORD MOLDOVA COOPERATIVA AGRICOLĂ,,,
423,424,237070947408-07,GENETICA DIN TRANSILVANIA COOPERATIVA AGRICOLĂ,,,
424,425,237070947408-07,SAMUS LACT COOPERATIVA AGRICOLĂ,,,
425,426,237070947408-07,SOMEȘ ARIEȘ COOPERATIVA AGRICOLĂ,,,
426,427,237070947408-07,SOMEȘ CODRU COOPERATIVA AGRICOLĂ,,,
427,428,237070947408-07,IMLACTGRO COOPERATIVA AGRICOLĂ,,,
428,429,825435720234-90,Water Europe,,,
429,430,825435720234-90,EuroACE,,,
430,431,825435720234-90,Europump,,,
431,432,825435720234-90,European Heating Industry,,,
432,433,825435720234-90,European Heat Pump Association,,,
433,434,825435720234-90,Euroheat & Power,,,
434,435,825435720234-90,Active House Alliance,,,
